Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
MATERNELLES (année scolaire 2017/2018);LE VAU (8) MAT;8 rue LE VAU;20ème Ardt;75120;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.41140084498963, 48.8663687597065]}";48.8663687597,2.41140084499
MATERNELLES (année scolaire 2017/2018);PELLEPORT (166) POLY;166 rue PELLEPORT;20ème Ardt;75120;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.397987454871222, 48.87336492903247]}";48.873364929,2.39798745487
MATERNELLES (année scolaire 2017/2018);POISSY (27) MAT;27 RUE DE POISSY;5ème Ardt;75105;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.352277925623206, 48.848592941475545]}";48.8485929415,2.35227792562
MATERNELLES (année scolaire 2017/2018);CENDRIERS (20) MAT;20 RUE DES CENDRIERS;20ème Ardt;75120;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.386886174119626, 48.865538242475154]}";48.8655382425,2.38688617412
MATERNELLES (année scolaire 2017/2018);LESSEPS (9) MAT;9 RUE DE LESSEPS;20ème Ardt;75120;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.400168773742517, 48.85871148587306]}";48.8587114859,2.40016877374
MATERNELLES (année scolaire 2017/2018);HOPITAL ST LOUIS (18) MAT;18 RUE DE L' HOPITAL SAINT-LOUIS;10ème Ardt;75110;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.364626529521368, 48.875432701534926]}";48.8754327015,2.36462652952
MATERNELLES (année scolaire 2017/2018);TAPISSERIES (8) MAT;8 RUE DES TAPISSERIES;17ème Ardt;75117;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.3077232981874403, 48.88848050694424]}";48.8884805069,2.30772329819
MATERNELLES (année scolaire 2018/2019);CHRISTIANI (8) MAT;8 rue CHRISTIANI;18ème Ardt;75118;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.3487390769283483, 48.88595159094018]}";48.8859515909,2.34873907693
MATERNELLES (année scolaire 2018/2019);SARRETTE (55) MAT;55 rue SARRETTE;14ème Ardt;75114;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.326935151608526, 48.82508625466353]}";48.8250862547,2.32693515161
MATERNELLES (année scolaire 2018/2019);OLIVIER METRA (31-33) MAT;31 rue OLIVIER METRA;20ème Ardt;75120;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.393799457215411, 48.87306925905368]}";48.8730692591,2.39379945722
MATERNELLES (année scolaire 2018/2019);SOURDIERE (27) MAT;27 RUE DE LA SOURDIERE;1er Ardt;75101;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.332706145198889, 48.86670068322143]}";48.8667006832,2.3327061452
MATERNELLES (année scolaire 2018/2019);FELIX FAURE (56) MAT;56 avenue FELIX FAURE;15ème Ardt;75115;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.2866154930631, 48.84069866924896]}";48.8406986692,2.28661549306
MATERNELLES (année scolaire 2018/2019);DUNOIS (71) MAT;71 rue DUNOIS;13ème Ardt;75113;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.36614130134491, 48.833044187090586]}";48.8330441871,2.36614130134
MATERNELLES (année scolaire 2018/2019);MAURICE ROUVIER (2) MAT;2 rue MAURICE ROUVIER;14ème Ardt;75114;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.310572150217376, 48.83060046654293]}";48.8306004665,2.31057215022
MATERNELLES (année scolaire 2018/2019);GAMBETTA (29) MAT;29 avenue GAMBETTA;20ème Ardt;75120;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.391827337092761, 48.86409376808416]}";48.8640937681,2.39182733709
MATERNELLES (année scolaire 2018/2019);DURANTI (10 B) MAT;10 bis rue DURANTI;11ème Ardt;75111;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.383913549272337, 48.860585428532644]}";48.8605854285,2.38391354927
MATERNELLES (année scolaire 2018/2019);PARC DES PRINCES (27) MAT;27 AVENUE DU PARC DES PRINCES;16ème Ardt;75116;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.25475662275081, 48.84012367075239]}";48.8401236708,2.25475662275
