Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
ELEMENTAIRES (année scolaire 2019/2020);ARAGO (87) ELEM;87 BOULEVARD ARAGO;14ème Ardt;75114;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.335684623200657, 48.834359894848824]}";48.8343598948,2.3356846232
ELEMENTAIRES (année scolaire 2017/2018);SIMON BOLIVAR (119) ELEM B;119 avenue SIMON BOLIVAR;19ème Ardt;75119;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.374187395431405, 48.87983801855387]}";48.8798380186,2.37418739543
ELEMENTAIRES (année scolaire 2017/2018);CHOMEL (8) POLY;8 rue CHOMEL;7ème Ardt;75107;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.325549473239966, 48.85217391430636]}";48.8521739143,2.32554947324
ELEMENTAIRES (année scolaire 2017/2018);TROIS BORNES (39) ELEM;39 RUE DES TROIS BORNES;11ème Ardt;75111;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.374600993642227, 48.86734856090879]}";48.8673485609,2.37460099364
ELEMENTAIRES (année scolaire 2017/2018);DAUMESNIL (253 T) ELEM;253 ter avenue DAUMESNIL;12ème Ardt;75112;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.403118293044725, 48.837044659614406]}";48.8370446596,2.40311829304
ELEMENTAIRES (année scolaire 2017/2018);LE VAU (20) ELEM A;20 rue LE VAU;20ème Ardt;75120;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.411209866655237, 48.8675321152743]}";48.8675321153,2.41120986666
ELEMENTAIRES (année scolaire 2017/2018);KELLER (4) ELEM;4 rue KELLER;11ème Ardt;75111;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.37685649020186, 48.85362019363408]}";48.8536201936,2.3768564902
ELEMENTAIRES (année scolaire 2017/2018);DOUDEAUVILLE (7) ELEM;7 rue DOUDEAUVILLE;18ème Ardt;75118;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.358735952262895, 48.88887204872754]}";48.8888720487,2.35873595226
ELEMENTAIRES (année scolaire 2017/2018);CHARDON LAGACHE (64) MAT;64 rue CHARDON-LAGACHE;16ème Ardt;75116;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.264222282900329, 48.842361131803855]}";48.8423611318,2.2642222829
ELEMENTAIRES (année scolaire 2017/2018);BAUDRICOURT (53) ELEM A;53 rue BAUDRICOURT;13ème Ardt;75113;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.36326101673429, 48.82593648816031]}";48.8259364882,2.36326101673
