Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
COLLEGES (année scolaire 2019/2020);BEAUMARCHAIS;124 rue AMELOT;11ème Ardt;75111;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.366905964139272, 48.86423154834393]}";48.8642315483,2.36690596414
COLLEGES (année scolaire 2019/2020);GEORGES MELIES;43 RUE DE TANGER;19ème Ardt;75119;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.370361625386506, 48.88807096508113]}";48.8880709651,2.37036162539
COLLEGES (année scolaire 2019/2020);FRANCOIS VILLON;10 avenue MARC SANGNIER;14ème Ardt;75114;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.305819982627661, 48.82622241341022]}";48.8262224134,2.30581998263
COLLEGES (année scolaire 2019/2020);PIERRE DE RONSARD;140 AVENUE DE WAGRAM;17ème Ardt;75117;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.304093629994704, 48.88588609775934]}";48.8858860978,2.30409362999
COLLEGES (année scolaire 2019/2020);GERMAINE TILLION;8 avenue VINCENT D'INDY;12ème Ardt;75112;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.411707605981475, 48.84313628652733]}";48.8431362865,2.41170760598
COLLEGES (année scolaire 2019/2020);CAMILLE CLAUDEL;4 bis AVENUE DE CHOISY;13ème Ardt;75113;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.364862727700058, 48.820640464088235]}";48.8206404641,2.3648627277
COLLEGES (année scolaire 2019/2020);LAVOISIER;17 rue HENRI BARBUSSE;5ème Ardt;75105;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.339294801403418, 48.84235456445448]}";48.8423545645,2.3392948014
COLLEGES (année scolaire 2020/2021);CESAR FRANCK;5 RUE DE LA JUSSIENNE;2ème Ardt;75102;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.344202679899203, 48.86535583739993]}";48.8653558374,2.3442026799
COLLEGES (année scolaire 2020/2021);ROGNONI;24 RUE DU CARDINAL LEMOINE;5ème Ardt;75105;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.353281841578868, 48.84827305751572]}";48.8482730575,2.35328184158
COLLEGES (année scolaire 2020/2021);BERNARD PALISSY;21 RUE DES PETITS HOTELS;10ème Ardt;75110;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.35285899572182, 48.877463461776024]}";48.8774634618,2.35285899572
COLLEGES (année scolaire 2020/2021);MONTGOLFIER;15 RUE MONTGOLFIER;3ème Ardt;75103;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.357397977784074, 48.86669135689308]}";48.8666913569,2.35739797778
COLLEGES (année scolaire 2020/2021);GEORGES ROUAULT;3 RUE DU NOYER-DURAND;19ème Ardt;75119;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.399077061965366, 48.886609192663514]}";48.8866091927,2.39907706197
COLLEGES (année scolaire 2017/2018 - 2018/2019);ROBERT DOISNEAU;51 RUE DES PANOYAUX;20ème Ardt;75120;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.387974290372938, 48.867074159307904]}";48.8670741593,2.38797429037
COLLEGES (année scolaire 2017/2018 - 2018/2019);CAMILLE CLAUDEL;4 bis AVENUE DE CHOISY;13ème Ardt;75113;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.364556550804408, 48.82057667413051]}";48.8205766741,2.3645565508
COLLEGES (année scolaire 2017/2018 - 2018/2019);CLAUDE DEBUSSY;4 PLACE DU COMMERCE;15ème Ardt;75115;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.291597647474012, 48.84529147733691]}";48.8452914773,2.29159764747
COLLEGES (année scolaire 2017/2018 - 2018/2019);PAUL VERLAINE;167 RUE DE BERCY;12ème Ardt;75112;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.3752385503850473, 48.84260745535199]}";48.8426074554,2.37523855039
COLLEGES (année scolaire 2021/2022);JULES ROMAINS;6 RUE CLER;7ème Ardt;75107;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.3054337931400832, 48.858464582559236]}";48.8584645826,2.30543379314
COLLEGES (année scolaire 2017/2018 - 2018/2019);MOZART;7 rue JOMARD;19ème Ardt;75119;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.379308212541665, 48.889575954549336]}";48.8895759545,2.37930821254
COLLEGES (année scolaire 2021/2022);CLAUDE DEBUSSY;4 PLACE DU COMMERCE;15ème Ardt;75115;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.291597647510685, 48.84529147463902]}";48.8452914746,2.29159764751
COLLEGES (année scolaire 2017/2018 - 2018/2019);PILATRE DE ROZIER;11 rue BOUVIER;11ème Ardt;75111;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.387212272588584, 48.85196268114882]}";48.8519626811,2.38721227259
COLLEGES (année scolaire 2021/2022);ANDRE MALRAUX;5 bis RUE SAINT-FERDINAND;17ème Ardt;75117;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.290514944291561, 48.878810438890326]}";48.8788104389,2.29051494429
COLLEGES (année scolaire 2017/2018 - 2018/2019);PIERRE ALVISET;88 rue MONGE;5ème Ardt;75105;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.351783598619921, 48.84129470300835]}";48.841294703,2.35178359862
COLLEGES (année scolaire 2019/2020);SUZANNE LACORE;149 BOULEVARD MACDONALD;19ème Ardt;75119;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.378876548969465, 48.89860872328315]}";48.8986087233,2.37887654897
COLLEGES (année scolaire 2017/2018 - 2018/2019);COLETTE BESSON;9 RUE DES PANOYAUX;20ème Ardt;75120;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.38492350107841, 48.86642227933896]}";48.8664222793,2.38492350108
COLLEGES (année scolaire 2019/2020);MONTAIGNE;17 rue AUGUSTE COMTE;6ème Ardt;75106;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.3348321135383943, 48.84423739910643]}";48.8442373991,2.33483211354
COLLEGES (année scolaire 2021/2022);SONIA DELAUNAY;14 RUE EURYALE DEHAYNIN;19ème Ardt;75119;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.378128741276411, 48.8859342974065]}";48.8859342974,2.37812874128
COLLEGES (année scolaire 2019/2020);GUY FLAVIEN;6 RUE D' ARTAGNAN;12ème Ardt;75112;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.386137297616703, 48.84540802476824]}";48.8454080248,2.38613729762
COLLEGES (année scolaire 2021/2022);CLAUDE BERNARD;1 AVENUE DU PARC DES PRINCES;16ème Ardt;75116;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.254942341632058, 48.841974682434916]}";48.8419746824,2.25494234163
COLLEGES (année scolaire 2019/2020);CLAUDE DEBUSSY;4 PLACE DU COMMERCE;15ème Ardt;75115;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.291597647474012, 48.84529147733691]}";48.8452914773,2.29159764747
COLLEGES (année scolaire 2021/2022);STEPHANE MALLARME;29 RUE DE LA JONQUIERE;17ème Ardt;75117;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.32448159826506, 48.893482019583715]}";48.8934820196,2.32448159827
COLLEGES (année scolaire 2019/2020);FRANCOIS COUPERIN;2 ALLEE DES JUSTES DE FRANCE;4ème Ardt;75104;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.3562783875836972, 48.85505968361592]}";48.8550596836,2.35627838758
COLLEGES (année scolaire 2019/2020);FLORA TRISTAN;4 rue GALLERON;20ème Ardt;75120;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.404630008313535, 48.85874304854273]}";48.8587430485,2.40463000831
COLLEGES (année scolaire 2019/2020);MOULIN DES PRES;18 RUE DU MOULIN DES PRES;13ème Ardt;75113;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.352713359370507, 48.82878642320625]}";48.8287864232,2.35271335937
COLLEGES (année scolaire 2019/2020);HENRI IV;23 rue CLOVIS;5ème Ardt;75105;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.347383671062703, 48.84635809646204]}";48.8463580965,2.34738367106
COLLEGES (année scolaire 2019/2020);EDMOND MICHELET;70 RUE DE L' OURCQ;19ème Ardt;75119;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.376485834369094, 48.893666558453425]}";48.8936665585,2.37648583437
COLLEGES (année scolaire 2019/2020);EDGAR VARESE;16 rue ADOLPHE MILLE;19ème Ardt;75119;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.388586748389937, 48.88915990505075]}";48.8891599051,2.38858674839
COLLEGES (année scolaire 2020/2021);CHARLEMAGNE;13 RUE CHARLEMAGNE;4ème Ardt;75104;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.360355646608568, 48.854156289711405]}";48.8541562897,2.36035564661
COLLEGES (année scolaire 2019/2020);GEORGES BRASSENS;4 rue ERIK SATIE;19ème Ardt;75119;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.386394321507079, 48.88433023072209]}";48.8843302307,2.38639432151
COLLEGES (année scolaire 2020/2021);EDOUARD PAILLERON;35 RUE EDOUARD PAILLERON;19ème Ardt;75119;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.378959597676682, 48.881293191571345]}";48.8812931916,2.37895959768
COLLEGES (année scolaire 2019/2020);ROGNONI;24 RUE DU CARDINAL LEMOINE;5ème Ardt;75105;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.353281840182742, 48.84827306020627]}";48.8482730602,2.35328184018
COLLEGES (année scolaire 2020/2021);CLAUDE CHAPPE;9 RUE DES ALOUETTES;19ème Ardt;75119;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.385349731136482, 48.8774933917731]}";48.8774933918,2.38534973114
COLLEGES (année scolaire 2019/2020);GEORGES ROUAULT;3 RUE DU NOYER-DURAND;19ème Ardt;75119;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.399077061944611, 48.886609194462046]}";48.8866091945,2.39907706194
COLLEGES (année scolaire 2021/2022);AMEDEO MODIGLIANI;1 RUE DE CHERBOURG;15ème Ardt;75115;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.304739466061122, 48.83170273369949]}";48.8317027337,2.30473946606
COLLEGES (année scolaire 2019/2020);JANSON DE SAILLY;106 RUE DE LA POMPE;16ème Ardt;75116;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.279452315218582, 48.86556091683931]}";48.8655609168,2.27945231522
COLLEGES (année scolaire 2021/2022);VOLTAIRE;101 AVENUE DE LA REPUBLIQUE;11ème Ardt;75111;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.384525451483521, 48.863525572261956]}";48.8635255723,2.38452545148
COLLEGES (année scolaire 2019/2020);CLAUDE MONET;1 RUE DU DOCTEUR MAGNAN;13ème Ardt;75113;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.362324352022051, 48.827434471414165]}";48.8274344714,2.36232435202
COLLEGES (année scolaire 2021/2022);HENRI BERGSON;27 bis RUE EDOUARD PAILLERON;19ème Ardt;75119;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.378040375653598, 48.88113769488454]}";48.8811376949,2.37804037565
COLLEGES (année scolaire 2019/2020);EVARISTE GALOIS;11 RUE DU DOCTEUR BOURNEVILLE;13ème Ardt;75113;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.35837871343357, 48.81844173792415]}";48.8184417379,2.35837871343
COLLEGES (année scolaire 2021/2022);CHARLEMAGNE;13 RUE CHARLEMAGNE;4ème Ardt;75104;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.360355646608568, 48.854156289711405]}";48.8541562897,2.36035564661
COLLEGES (année scolaire 2019/2020);VICTOR HUGO;11 rue BARBETTE;3ème Ardt;75103;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.360617651517032, 48.85884108995745]}";48.85884109,2.36061765152
COLLEGES (année scolaire 2021/2022);GEORGE SAND;159 RUE DE TOLBIAC;13ème Ardt;75113;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.355885229075523, 48.82601379702333]}";48.826013797,2.35588522908
COLLEGES (année scolaire 2020/2021);PIERRE ALVISET;88 RUE MONGE;5ème Ardt;75105;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.351783600015938, 48.84129470031784]}";48.8412947003,2.35178360002
COLLEGES (année scolaire 2021/2022);LUCIE FAURE;40 RUE DES PYRENEES;20ème Ardt;75120;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.406501323731271, 48.850908971483676]}";48.8509089715,2.40650132373
COLLEGES (année scolaire 2020/2021);GERMAINE TILLION;8 AVENUE VINCENT D'INDY;12ème Ardt;75112;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.411707606011929, 48.8431362838294]}";48.8431362838,2.41170760601
COLLEGES (année scolaire 2021/2022);ALAIN FOURNIER;87 RUE LEON FROT;11ème Ardt;75111;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.383853741126549, 48.85822327881153]}";48.8582232788,2.38385374113
COLLEGES (année scolaire 2020/2021);PAUL VALERY;38 BOULEVARD SOULT;12ème Ardt;75112;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.409179064600375, 48.83984209312885]}";48.8398420931,2.4091790646
COLLEGES (année scolaire 2020/2021);FLORA TRISTAN;4 RUE GALLERON;20ème Ardt;75120;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.404630008354641, 48.85874304494557]}";48.8587430449,2.40463000835
